Question,Equation,answer
색종이 89장을 학생 82명에게 똑같이 나누어주려고 합니다. 한 학생에게 최대 몇 장씩 줄 수 있는지 차례대로 쓰시오.,89 // 82,1
"색종이 89장을 학생 82명에게 모두 나누어주려고 합니다. 색종이를 못 받은 학생이 없다고 할 때, 한 학생에게 최대 몇 장씩 줄 수 있는지 쓰시오.",89 // 82 + 89 % 82,8
색종이 89장을 학생들에게 4장씩 나누어 주려고 합니다. 최대 몇 명에게 나누어줄 수 있는지 쓰시오.,89 // 4,22
"학생들에게 종이를 4장씩 나누어 주려고 합니다. 색종이가 89장이 있다고 할 때, 최대 몇 명에게 나누어 줄 수 있는지 쓰시오",89 // 4,22
"학생 82명에게 똑같이 종이를 나누어 주려고 합니다. 색종이를 89장 가지고 있다고 할 때, 한 학생에게 최대 몇 장을 줄 수 있는지 쓰시오.",89 // 82,1
우표 98장을 봉투 한 개에 97장 씩 똑같이 나누어 넣으면 우표는 몇 장 남는지 쓰시오.,98 % 97,1
우표 98장을 봉투 두 개에 똑같이 나누어 넣으면 우표는 몇 장 남는지 쓰시오.,98 % 2,0
"우표를 봉투 한 개에 97장씩 똑같이 넣으려고 한다. 우표가 98장이 있을 때, 우표는 몇 장 남는지 쓰시오.",98 % 97,1
"봉투 두 개에 우표를 똑같이 넣으려고 한다. 우표가 98장이 있을 때, 몇 장 남는지 쓰시오.",98 % 2,0
"우표가 98장이 있다. 한 봉투에 4장씩 넣으려고 할 때, 최대 몇 장의 봉투에 넣을 수 있는지 쓰시오",98 // 4,24
83분에 82㎞를 달리는 오토바이와 79분에 64km를 달리는 자전거가 있습니다. 42분 동안 같은 속도로 달렸다면 오토바이는 자전거보다 몇㎞ 더 많이 가는 지를 쓰시오.,( 82 / 83 - 64 / 79 ) * 42,7.47
83분에 82㎞를 달리는 오토바이와 79분에 64km를 달리는 자전거가 있습니다. 42분 동안 같은 속도로 달렸다면 자전거는 오토바이보다 몇㎞ 덜 가는 지를 쓰시오.,( 64 / 79 - 82 / 83 ) * 42 * (-1),7.47
"83분에 82㎞를 달리는 오토바이가 있습니다. 자전거는 79분에 64km를 달린다고 할 때, 42분 동안 같은 속도로 달린다면 자전거는 오토바이보다 몇㎞ 덜 가는 지를 쓰시오.",( 64 / 79 - 82 / 83 ) * 42 * (-1),7.47
오토바이는 83분에 82㎞를 달립니다. 42분 동안 같은 속도로 달렸다면 오토바이는 79분에 64km를 달리는 자전거보다 몇㎞ 더 많이 가는 지를 쓰시오.,( 82 / 83 - 64 / 79 ) * 42,7.47
자전거는 79분에 64km를 달리고 오토바이는 83분에 82㎞를 달립니다. 42분 동안 같은 속도로 달렸다면 오토바이는 자전거보다 몇㎞ 더 많이 가는 지를 쓰시오.,( 82 / 83 - 64 / 79 ) * 42,7.47
공이 한 통에 98개씩 84통 있습니다. 이 공을 64상자에 똑같이 나누어 담으려고 합니다. 한 상자에 몇 개씩 넣어야 하는지 답을 쓰시오.,98 * 84 // 64,128
공이 한 통에 98개씩 84통 있습니다. 이 공을 64개의 상자에 두 개씩 나누어 담으려고 합니다. 몇 개의 공이 남는지 쓰시오,98 * 84 - (64 * 2),8104
"64개의 상자에 공을 똑같이 나누어 담으려고 합니다. 공이 한 통에 98개씩 84통 있을때, 한 상자에 몇 개씩 넣어야 하는지 답을 쓰시오.",98 * 84 // 64,128
"64개의 상자에 공을 두 개씩 담으려고 합니다. 공이 한 통에 98개씩 84통 있을때, 몇 개의 공이 남는지 쓰시오.",98 * 84 - (64 * 2),8104
공이 한 통에 98개씩 84통 있습니다. 이 공을 64개의 상자에 두 개씩 나누어 담으면 몇 개의 공이 남는지 쓰시오.,98 * 84 - (64 * 2),8104
"남준반의  학생 수는 79명이었다. 전학을 온 학생은 57명, 전학을 간 학생은 43명이라고 한다. 남준반 총 학생 수로 옳은 답은 어느 것입니까?",79 + 57 - 43,93
"남준반의  학생 수는 79명이었다. 전학을 간 학생은 57명, 전학을 온 학생은 43명이라고 한다. 남준반 총 학생 수로 옳은 답은 어느 것입니까?",79 - 57 + 43,65
"남준이네 반에 전학을 온 학생은 57명, 전학을 간 학생은 43명이라고 한다. 원래 남준이네 반의 학생수가 79명이라고 할 때, 총 학생수를 쓰시오.",57 - 43 + 79,93
"남준이네 반에 전학을 간 학생은 57명, 전학을 온 학생은 43명이라고 한다. 원래 남준이네 반의 학생수가 79명이라고 할 때, 총 학생수를 쓰시오.",(-57) + 43 + 79,65
"남준반의  학생 수는 79명이었다. 전학을 간 학생은 57명이라고 할 때, 남준반 총 학생 수로 옳은 답은 어느 것입니까?",79 - 57,22
"지민이네 반 여학생 89명은 81명씩 모둠을 만들었고, 남학생 68명은 64명씩 모둠을 만들었습니다. 만든 모둠은 모두 몇 모둠인지 쓰시오.",89 // 81 + 68 // 64,2
지민이네 반에서 학생 89명은 22명씩 모둠을 만들었다. 만든 모둠은 모두 몇 모둠인지 쓰시오.,89 // 22,4
"지민이네 반에서 남학생은 남학생끼리, 여학생은 여학생끼리 모둠을 만들려고 한다. 여학생이 81명, 남학생이 72명이고 9명씩 모둠을 만들 때, 몇 모둠이 만들어지는지 쓰시오.",81 // 9 + 72 // 9,17
지민이네 반에서 학생 89명은 22명씩 모둠을 만들었다. 모둠에 들어가지 못한 학생은 모두 몇 명인가?,89 % 22,1
"지민이네 반 여학생 89명은 81명씩 모둠을 만들었고, 남학생 68명은 64명씩 모둠을 만들었습니다. 모둠에 속하지 못 한 학생끼리 새로운 모둠을 만들 때, 몇 명이 속하는지 쓰시오.",89 % 81 + 68 % 64,12
"남학생 82명은 69명씩 팀을 만들고, 여학생 65명은 55명씩 팀을 만들었다. 만든 팀은 모두 몇 팀인지 구해 보시오.",82 // 69 + 65 // 55,2
학생들이 82명은 22명씩 팀을 만들었다. 만든 팀은 모두 몇 팀인지 구해 보시오.,82 // 22,3
학생들이 82명은 22명씩 팀을 만들었다. 팀에 속하지 못한 학생 수를 구해 보시오.,82 % 22,16
"남학생 82명, 여학생이 65명이 있다. 남학생은 69명씩 여학생은 55명씩 팀을 만들 때, 만든 팀은 모두 몇 팀인지 구해 보시오.",82 // 69 + 65 // 55,2
"남학생 82명, 여학생이 65명이 있다. 남학생은 69명씩 여학생은 55명씩 팀을 만들 때, 팀에 속하지 못한 학생 수를 구하시오.",82 % 69 + 65 % 55,23
"5학년 88～97반 학생들이 현장체험학습을 떠났습니다. 각 반 학생들은 모두 60명씩이었고, 숙소에 도착해 보니 한 방에는 59명씩 잘 수 있었습니다. 필요한 방의 개수로 옳은 것은 어느 것입니까?","( 97 - 88 + 1 ) * 60 // 59 ",10
5학년 학생들이 현장체험학습을 떠났습니다.  총 5반이고 각 반 학생들은 모두 60명씩 있습니다. 숙소에 도착해 보니 한 방에는 30명씩 잘 수 있었습니다. 필요한 방의 개수로 옳은 것은 어느 것입니까?,5 * 50 // 30,8
총 5반이고 각 반 학생들은 모두 60명씩 있는 5학년 학생들이 현장체험학습을 떠났습니다. 숙소에 도착해 보니 한 방에는 30명씩 잘 수 있었습니다. 필요한 방의 개수로 옳은 것은 어느 것입니까?,5 * 50 // 30,8
한 방에 30명씩 잘 수 있는 숙소에 5학년 학생들이 머물기로 했습니다. 5학년 학생들은 총 5반이고 각 반 학생들은 모두 60명씩 있습니다. 필요한 방의 개수로 옳은 것은 어느 것입니까?,5 * 50 // 30,8
"한 방에 29명씩 잘 수 있는 숙소에 5학년 학생들이 머물기로 했습니다. 5학년 학생들은 총 5반이고 각 반 학생들은 모두 60명씩 있습니다. 남은 학생들은 따로 방을 제공한다고 할 때, 몇 명이 남습니까?",5 * 50 % 30,10
"유나가 가진 끈은 99cm이고, 정국이는 길이가 84cm인 끈을 똑같이 73개로 나눈 것 중 하나를 가지고 있습니다. 유나가 가진 끈은 정국이가 가진 끈의 몇 배인지 구해 보시오.",99 / ( 84 / 73 ),86.04
"정국이는 길이가 84cm인 끈을 똑같이 73개로 나눈 것 중 하나를 가지고 있고, 유나는 99cm의 끈을 가지고 있습니다. 유나가 가진 끈은 정국이가 가진 끈의 몇 배인지 구해 보시오.",99 / ( 84 / 73 ),86.04
"정국이는 길이가 84cm인 끈을 똑같이 73개로 나눈 것 중 하나를 가지고 있고, 유나는 99cm의 끈을 똑같이 33개로 나눈 것 중 하나를 가지고 있습니다. 유나가 가진 끈은 정국이가 가진 끈의 몇 배인지 구해 보시오.",( 99 / 33 ) / ( 84 / 73 ),2.6
"정국이는 길이가 84cm인 끈을 가지고 있고, 유나는 99cm의 끈을 가지고 있습니다. 유나가 가진 끈은 정국이가 가진 끈의 몇 배인지 구해 보시오.",99 / 84,1.18
"정국이는 길이가 84cm인 끈을 가지고 있고, 유나는 99cm의 끈을 가지고 있습니다. 정국이가 가진 끈은 유나가 가진 끈의 몇 배인지 구해 보시오.",84 / 99,0.85
"4학년 학생들이 박물관으로 현장학습을 갔습니다. 우리 반은 88명 중에서 78명이 가지 않았고, 버스에는 운전기사와 선생님, 그리고 문화 해설 도우미 77명이 타셨습니다. 버스에는 모두 몇 명이 타고 있는지 쓰시오.",88 - 78 + 1 + 1 + 77,89
"4학년 학생들이 박물관으로 현장학습을 갔습니다. 우리 반은 88명 중에서 78명이 현장학습에 갔고, 버스에는 운전기사와 선생님, 그리고 문화 해설 도우미 77명이 타셨습니다. 버스에는 모두 몇 명이 타고 있는지 쓰시오.",78 + 2 + 1 + 1 + 77,159
"우리 반 학생 44명이 박물관으로 현장 학습을 갔습니다. 버스에는 운전기사, 담임 선생님, 그리고 문화 해설 도우미 2명이 타셨습니다. 버스에는 모두 몇 명이 있습니까?",44 + 1 + 1 + 2,48
"4학년 학생들이 박물관으로 현장학습을 갔습니다.  버스에는 운전기사, 담임 선생님, 문화 해설사 도우미 2명이 타고 있습니다. 우리 반 학생이 44명일 때, 버스에는 모두 몇 명이 있습니까?",1 + 1 + 2 + 44,48
"4학년 학생들이 박물관으로 현장학습을 갔습니다.  버스에는 운전기사, 담임 선생님, 문화 해설사 도우미 2명이 타고 있습니다. 모두 48명이 탔을 때, 우리 반 학생은 모두 몇 명입니까?",48 - ( 1 + 1 + 2 ),44
기차가 처음 역에서 89명을 태우고 출발했다. 다음 역에서 86명이 내리고 82명이 탔다면 지금 기차에 타고 있는 사람은 몇 명인지 구해 보시오.,89 - 86 + 82,85
기차가 처음 역에서 89명을 태우고 출발했다. 다음 역에서 86명이 타고 82명이 내렸다면 지금 기차에 타고 있는 사람은 몇 명인지 구해 보시오.,89 + 86 - 82,93
기차가 처음 역에서 89명을 태우고 출발했다. 다음 역에서 82명이 내렸다면 지금 기차에 타고 있는 사람은 몇 명인지 구해 보시오.,89 - 82,7
기차가 처음 역에서 89명을 태우고 출발했다. 다음 역에서 2명이 탔다면 지금 기차에 타고 있는 사람은 몇 명인지 구해 보시오.,89 + 2,91
"기차가 다음 역에서 86명이 타고 82명이 내렸다. 기차 안에는 총 98명이 타고 있을 때, 처음 역에서 출발했을 때 기차 안에 있던 사람은 몇 명인지 구해 보시오.",98 - ( 86 - 82 ),94
지민이는 98원을 가지고 97원짜리 공책 91권과 86원짜리 연필 74개를 샀다. 남은 돈은 얼마인지 구하시오.,98 - 97 * 91 - 86 * 74,-15093
지민이는 98원을 가지고 86원짜리 연필 74개를 샀다. 남은 돈은 얼마인지 구하시오.,98 - 86 * 74,-6266
"지민이는 98원을 가지고 96원짜리 도화지 3장, 97원짜리 공책 91권, 86원짜리 연필 74개를 샀다. 남은 돈은 얼마인지 구하시오.",98 - 96 * 3 - 97 * 91 - 86 * 74,-15381
지민이는 97원짜리 공책 91권과 86원짜리 연필 74개를 샀다. 지민이는 돈이 최소한 얼마가 있었는지 구하시오,97 * 91 + 86 * 74,15191
지민이는 86원짜리 연필 74개를 샀다. 지민이는 돈이 최소한 얼마가 있었는지 구하시오,86 * 74,6364
"조기 한 두름은 94마리입니다. 조기 85두름을 하루에 78마리씩 판다면, 며칠 동안 팔 수 있는지 구하시오.",94 * 85 // 78,102
"조기 85두름을 하루에 78마리씩 팔려고 합니다. 조기 한 두름은 94마리일 때, 며칠 동안 팔 수 있는지 구하시오.",85 * 94 // 78,102
"조기 85두름을 하루에 78마리씩 팔려고 합니다. 조기 한 두름은 94마리일 때, 팔고 남은 조기는 몇마리 입니까?",85 * 94 % 78,34
"조기 한 두름은 94마리 입니다. 조기 85두름을 하루에 78마리씩 팔려고 할 때, 팔고 남은 조기는 몇마리 입니까?",85 * 94 % 78,34
"조기 한 두름은 94마리입니다. 조기 85두름을 이틀에 78마리씩 판다면, 며칠 동안 팔 수 있는지 구하시오.",85 * 94 // 78 * 2,204
윤기가 사는 아파트는 89개의 동으로 나누어져 있습니다. 한 동의 가구 수가 70 가구라면 모두 몇 가구가 살고 있는지 옳게 구한 것은 어느 것입니까?,89 * 70,6230
"윤기는 한 동의 가구 수가 70 가구인 아파트에 살고 있습니다. 아파트가 89개의 동으로 나누어져 있을 때,  모두 몇 가구가 살고 있는지 옳게 구한 것은 어느 것입니까?",70 * 89,6230
"윤기는 한 동의 가구 수가 70 가구인 아파트에 살고 있습니다. 아파트에 총 6230가구가 살고 있을 때, 아파트는 몇 개의 동으로 나누어져 있나요?",6230 / 70,80
"윤기는 총 6230가구가 있는 아파트에 살고 있습니다. 한 동의 가구 수가 70 가구일 때, 아파트는 몇 개의 동으로 나누어져 있나요?",6230 / 70,80
"윤기는 총 6230가구가 있는 아파트에 살고 있습니다. 아파트가 89개의 동으로 나누어져 있을 때, 한 동에는 몇 개의 가구가 살고있나요?",6230 / 80,70
선물 포장 1개를 하는데 8㎝의 리본이 필요합니다. 만약 리본이 81㎝가 있다면 몇 개의 선물을 포장할 수 있는지 쓰시오.,81 // 8,10
"리본이 81㎝가 있습니다. 선물 포장 1개를 하는데 8㎝의 리본이 필요하다면, 몇 개의 선물을 포장할 수 있는지 쓰시오.",81 // 8,10
"리본이 81㎝가 있습니다. 선물 포장 2개를 하는데 8㎝의 리본이 필요하다면, 몇 개의 선물을 포장할 수 있는지 쓰시오.",81 // ( 8 / 2 ),20
선물 포장 2개를 하는데 8㎝의 리본이 필요합니다. 만약 리본이 81cm가 있다면 몇 개의 선물을 포장할 수 있는지 쓰시오.,81 // ( 8 / 2 ),20
선물 포장 2개를 하는데 8㎝의 리본이 필요합니다. 하나의 선물을 포장하는 데 몇 cm의 리본이 필요한지 쓰시오.,8 // 2,4
정국이네 농장에서 딴 귤 92개를 한 상자에 87개씩 나누어 담고 남은 것은 다 먹었습니다. 먹은 귤은 몇 개인지 쓰시오.,92 % 87,5
정국이네 농장에서 딴 귤 92개를 한 상자에 87개씩 나누어 담고 남은 것은 다 먹었습니다. 귤을 담은 상자가 몇 개인지 쓰시오.,92 // 87,1
정국이네 농장에서 귤을 92개 땄습니다. 한 상자에 87개씩 나누어 담고 남은 것은 다 먹었습니다. 먹은 귤은 몇 개인지 쓰시오.,92 % 87,5
"정국이네 농장에서 귤 92개를 땄습니다. 세 상자에 똑같이 나누어 담았을 때, 남은 귤은 몇 개입니까?",92 % 3,2
정국이네 농장에서 귤 92개를 땄습니다. 세 상자에 똑같이 나누어 담았습니다. 남은 귤은 몇 개입니까?,92 % 3,2
99m 철사를 한 도막에 85m가 되도록 잘랐습니다. 85m 철사를 최대 몇 도막까지 만들 수 있는지 쓰시오.,99 // 85,1
"한 도막에 85m가 되도록 철사를 자르려고 합니다. 99m 철사가 있을 때, 85m 철사를 최대 몇 도막까지 만들 수 있는지 쓰시오.",99 // 85,1
철사가 99cm있습니다. 한 도막에 85m가 되도록 철사를 자르려고 합니다. 85m 철사를 최대 몇 도막까지 만들 수 있는지 쓰시오.,99 // 85,1
"철사가 99cm있습니다. 한 도막에 85m가 되도록 철사를 자르려고 한다면, 최대 몇 도막까지 만들 수 있는지 쓰시오.",99 // 85,1
한 도막에 85m가 되도록 철사를 자르려고 하는데 99m 철사가 있습니다. 85m 철사를 최대 몇 도막까지 만들 수 있는지 쓰시오.,99 // 85,1
"태형이네 반에서는 선생님께서 어린이날에 76원짜리 아이스크림을 학생 71명에게 한 개씩 나누어 주려고 합니다. 아이스크림 값은 모두 얼마인지 쓰시오. ",76 * 71,5396
"태형이네 반에서는 선생님께서 어린이날에 아이들에게 아이스크림을 사주려고 합니다. 76원짜리 아이스크림을 학생 71명에게 한 개씩 나누어 주려고 합니다. 모두 얼마인지 쓰시오. ",76 * 71,5396
"태형이네 반에서는 선생님께서 어린이날에 아이들에게 아이스크림을 사주려고 합니다. 76원짜리 아이스크림을 학생 71명에게 한 개씩 나누어 주려고 할 때, 모두 얼마인지 쓰시오. ",76 * 71,5396
"선생님께서 76원짜리 아이스크림을 학생 71명에게 한 개씩 나누어 주려고 할 때, 모두 얼마인지 쓰시오. ",76 * 71,5396
"선생님께서 76원짜리 아이스크림을 학생 71명에게 두 개씩 나누어 주려고 할 때, 모두 얼마인지 쓰시오. ",76 * 71 * 2,"10,792"
운동화 한 켤레를 팔면 이익이 97원입니다. 운동화 87켤레를 팔면 이익은 모두 얼마인지 쓰시오.,97 * 87,8439
"운동화 한 켤레를 팔면 이익이 97원이라고할 때, 운동화 87켤레를 팔면 이익은 모두 얼마인지 쓰시오.",97 * 87,8439
"운동화 87켤레를 팔려고 합니다. 한 켤레를 팔면 이익이 97원이라고할 때, 이익은 모두 얼마인지 쓰시오.",87 * 97,8439
"운동화 87켤레를 팔려고 하는데, 한 켤레를 팔면 이익이 97원이라고합니다. 이익은 모두 얼마인지 쓰시오.",87 * 97,8439
"운동화 87켤레를 팔려고 하는데, 두 켤레를 팔면 이익이 97원이라고합니다. 이익은 모두 얼마인지 쓰시오.",87 * ( 97 // 2 ),4176
민영이는 94㎝의 끈으로 고춧대를 묶으려고 합니다. 끈을 93㎝씩 잘라서 고춧대를 묶는다면 고춧대를 몇 개까지 묶을 수 있습니까?,94 // 93,1
"민영이는 94㎝의 끈으로 고춧대를 묶으려고 하는데, 끈을 93㎝씩 잘라서 고춧대를 묶는다면 고춧대를 몇 개까지 묶을 수 있습니까?",94 // 93,1
"민영이가 끈을 93㎝씩 잘라서 고춧대를 묶으려고 합니다. 끈이 94㎝ 있다고 할때, 고춧대를 몇 개까지 묶을 수 있습니까?",94 // 93,1
"민영이가 끈을 93㎝씩 잘라서 고춧대를 묶으려고 하는데, 끈이 94㎝ 있다고 할때, 고춧대를 몇 개까지 묶을 수 있습니까?",94 // 93,1
"민영이가 끈을 93㎝씩 잘라서 고춧대를 묶으려고 하는데, 끈이 94㎝ 있다고 합니다. 민영이는 고춧대를 몇 개까지 묶을 수 있습니까?",94 // 93,1
상자 안에 98개의 공이 있습니다. 윤기가 80개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,98 + 80,178
"윤기가 80개의 공을 상자 안에 더 넣었습니다. 상자 안에 98개의 공이 있었다고 할 때, 상자 안에 있는 공은 모두 몇 개입니까?",80 + 98,178
"상자 안에 98개의 공이 있는데, 윤기가 80개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?",98 + 80,178
"윤기가 80개의 공을 상자 안에 더 넣고. 상자 안에 98개의 공이 있었다고 할 때, 상자 안에 있는 공은 모두 몇 개입니까?",80 + 98,178
"윤기가 80개의 공을 상자 안에서 빼냈습니다. 상자 안에 98개의 공이 있었다고 할 때, 상자 안에 있는 공은 모두 몇 개입니까?",98 - 80,18
89부터 90까지의 홀수의 합을 구하시오,"sum( [ i * ( i % 2 == 1 ) for i in range( 89 , 90 + 1 ) ] )",89
89부터 90까지의 합을 구하시오,"sum( [ i for i in range( 89 , 90 + 1 ) ] )",179
89부터 90까지의 짝수의 합을 구하시오,"sum( [ i * ( i % 2 == 0 ) for i in range( 89 , 90 + 1 ) ] )",90
숫자가 89부터 90까지 있습니다. 이 두 수 사이의 홀수의 합을 구하시오,"sum( [ i * ( i % 2 == 1 ) for i in range( 89 , 90 + 1 ) ] )",89
숫자가 89부터 90까지 있습니다. 이 두 수 사이의 수들의 합을 구하시오,"sum( [ i for i in range( 89 , 90 + 1 ) ] )",179
"윤기, 정국, 남준이의 수학 점수는 각각 88점, 81점, 78점입니다. 이 셋을 제외한 학급의 수학 점수 평균은 69점입니다. 윤기네 학급 인원수가 63명일 때, 학급 수학 평균 점수는 몇 점입니까?",( 88 + 81 + 78 + 69 * ( 63 - 3 ) ) / 63,69.63
"윤기, 정국, 남준이의 수학 점수는 각각 88점, 81점, 78점이고, 이 셋을 제외한 학급의 수학 점수 평균은 69점입니다. 윤기네 학급 인원수가 63명일 때, 학급 수학 평균 점수는 몇 점입니까?",( 88 + 81 + 78 + 69 * ( 63 - 3 ) ) / 63,69.63
"윤기, 남준이의 수학 점수는 각각 88점, 78점입니다. 이 둘을 제외한 학급의 수학 점수 평균은 69점입니다. 윤기네 학급 인원수가 63명일 때, 학급 수학 평균 점수는 몇 점입니까?",( 88 + 78 + 69 * ( 63 - 2 ) ) / 63,69.44
"윤기네 반 학생수는 모두 63명입니다. 윤기, 정국, 남준이의 수학 점수는 각각 88점, 81점, 78점입니다. 이 셋을 제외한 학급의 수학 점수 평균은 69점일 때, 학급 수학 평균 점수는 몇 점입니까?",( 88 + 81 + 78 + 69 * ( 63 - 3 ) ) / 63,69.63
"윤기, 정국, 남준이의 수학 점수는 각각 88점, 81점, 78점입니다. 이 셋을 제외한 학급의 수학 점수 평균은 69점이고 윤기네 학급 인원수가 63명일 때, 학급 수학 평균 점수는 몇 점입니까?",( 88 + 81 + 78 + 69 * ( 63 - 3 ) ) / 63,69.63
76부터 93까지의 짝수의 합을 구하시오,"sum( [ i * ( i % 2 == 0 ) for i in range( 76 , 93 + 1 ) ] )",756
76부터 93까지의 홀수의 합을 구하시오,"sum( [ i * ( i % 2 == 1 ) for i in range( 76 , 93 + 1 ) ] )",765
76부터 93까지의 숫자들의 합을 구하시오,"sum( [ i for i in range( 76 , 93 + 1 ) ] )",1521
76부터 93까지 숫자들이 있습니다. 이 숫자들 중 짝수의 합을 구하시오,"sum( [ i * ( i % 2 == 0 ) for i in range( 76 , 93 + 1 ) ] )",756
76부터 93까지 숫자들이 있습니다. 이 숫자들 중 홀수의 합을 구하시오,"sum( [ i * ( i % 2 == 1 ) for i in range( 76 , 93 + 1 ) ] )",765
93부터 96까지의 수 중 79의 배수의 합을 구하시오,"sum( [ i * ( i % 79 == 0 ) for i in range( 93 , 96 + 1 ) ] )",0
93부터 96까지 숫자들이 있습니다. 이 중 79의 배수의 합을 구하시오,"sum( [ i * ( i % 79 == 0 ) for i in range( 93 , 96 + 1 ) ] )",0
"어떤 숫자 범위에서 79의 배수의 합을 구하려고 합니다. 어떤 숫자 범위가 93부터 96이라 할 때, 합을 구하시오.","sum( [ i * ( i % 79 == 0 ) for i in range( 93 , 96 + 1 ) ] )",0
"어떤 숫자 범위에서 79의 배수의 합을 구하려고 하는데, 이 어떤 숫자 범위가 93부터 96이라고 합니다. 합을 구하시오.","sum( [ i * ( i % 79 == 0 ) for i in range( 93 , 96 + 1 ) ] )",0
93부터 96까지의 수 중 77의 배수의 합을 구하시오,"sum( [ i * ( i % 77 == 0 ) for i in range( 93 , 96 + 1 ) ] )",0
20명의 학생들이 한 줄로 줄을 섰습니다. 윤기의 앞에 11명의 학생들이 서 있습니다. 윤기의 뒤에 서 있는 학생은 몇 명입니까?,20 - 11 + 1,10
"20명의 학생들이 한 줄로 줄을 섰있는데, 윤기의 앞에 11명의 학생들이 서 있습니다. 윤기의 뒤에 서 있는 학생은 몇 명입니까?",20 - 11 + 1,10
"20명의 학생들이 한 줄로 줄을 섰습니다. 윤기의 앞에 11명의 학생들이 서 있을 때, 윤기의 뒤에 서 있는 학생은 몇 명입니까?",20 - 11 + 1,10
